Year,Country,Associated Dis,Dis Mag Value,Latitude,Longitude,Total Deaths
1984,Indonesia,,6.0,-2.823,118.806,2.0
1984,India,,6.0,24.4,92.34,20.0
1984,Italy,,6.0,43.26,12.558,3.0
1984,Italy,,5.0,42.1,13.5,3.0
1984,Pakistan,,7.0,34.07,71.15,4.0
1985,Indonesia,,6.0,-4.13,136.049,10.0
1985,Iran (Islamic Republic of),,5.0,28.399,52.997,1.0
1985,Mexico,,8.0,18.19,-102.533,9500.0
1985,Pakistan,,7.0,36.19,70.896,5.0
1985,Philippines (the),,7.0,7.758,123.544,2.0
1986,India,,5.0,32.128,76.374,6.0
1986,Iran (Islamic Republic of),,6.0,29.962,51.582,1.0
1986,Peru,,6.0,-13.32,-71.57,15.0
1986,Peru,,5.0,-9.505,-77.512,1.0
1987,Indonesia,"Slide (land, mud, snow, rock)",7.0,-8.247,124.155,125.0
1987,Papua New Guinea,"Slide (land, mud, snow, rock)",7.0,-6.088,147.689,1.0
1987,Indonesia,,6.0,2.244,98.866,2.0
1987,Iran (Islamic Republic of),,5.0,34.076,48.266,2.0
1987,Japan,,6.0,35.38,140.214,2.0
1987,Mexico,,7.0,33.015,-115.852,2.0
1987,New Zealand,,7.0,-37.965,176.765,1.0
1988,India,,7.0,26.755,86.616,382.0
1988,Iran (Islamic Republic of),,6.0,29.974,51.679,1.0
1988,Nepal,,7.0,26.755,86.616,709.0
1979,Yugoslavia,Tsunami/Tidal wave,7.0,42.096,19.209,121.0
1982,El Salvador,"Slide (land, mud, snow, rock)",7.0,13.332,-89.387,20.0
1982,Yemen Arab Rep,,6.0,14.701,44.379,1507.0
1983,Turkey,,7.0,40.33,42.187,1346.0
1983,United States of America (the),,7.0,44.058,-113.857,2.0
1983,Yugoslavia,,5.0,41.959,21.54,12.0
1984,Turkey,,5.0,40.55,42.4,3.0
1985,Soviet Union,,6.0,40.301,69.823,29.0
1986,El Salvador,,8.0,13.4,-89.1,1100.0
1986,Soviet Union,,6.0,26.0,46.5,1.0
1986,Soviet Union,,6.0,41.431,43.737,2.0
1986,Turkey,,6.0,37.993,37.806,15.0
1986,Venezuela (Bolivarian Republic of),,6.0,10.77,-69.428,1.0
1987,United States of America (the),,6.0,34.061,-118.079,8.0
1988,Solomon Islands,,7.0,-10.199,160.855,1.0
1988,Soviet Union,,7.0,40.987,44.185,25000.0
1989,Algeria,Tsunami/Tidal wave,6.0,36.788,2.448,22.0
1989,Australia,,5.0,-32.967,151.619,12.0
1989,Bangladesh,,5.0,21.861,89.763,1.0
1989,China,,6.0,29.987,99.195,8.0
1989,China,,5.0,39.893,113.884,29.0
1989,China,,6.0,23.553,99.526,1.0
1989,China,,5.0,29.882,106.804,4.0
1990,Ecuador,"Slide (land, mud, snow, rock)",5.0,-0.259,-78.449,4.0
1990,Bulgaria,,7.0,45.841,26.668,1.0
1990,China,,6.0,37.001,103.863,1.0
1990,China,,7.0,35.986,100.245,126.0
1990,Costa Rica,,6.0,9.869,-84.302,1.0
1991,Afghanistan,"Slide (land, mud, snow, rock)",5.0,37.457,68.273,24.0
1991,Costa Rica,Tsunami/Tidal wave,6.0,9.685,-83.073,47.0
1991,Afghanistan,,6.0,38.993,70.423,130.0
1991,China,,6.0,39.8,173.9,1.0
1991,Colombia,,7.0,3.554,-77.442,2.0
1992,Colombia,Volcanic activity,7.0,7.123,7.0,11.0
1992,Afghanistan,,6.0,33.377,71.317,14.0
1992,Germany,,6.0,51.153,5.798,1.0
1992,Egypt,,6.0,29.888,31.223,552.0
1993,Colombia,,6.0,6.47,-71.21,2.0
1993,Costa Rica,,4.0,9.59,-84.04,3.0
1994,Bolivia (Plurinational State of),"Slide (land, mud, snow, rock)",8.0,-13.841,-67.553,5.0
1994,Colombia,"Slide (land, mud, snow, rock)",6.0,30.0,-76.2,271.0
1994,Afghanistan,,6.0,37.0,67.0,160.0
1989,Indonesia,"Slide (land, mud, snow, rock)",6.0,-4.511,139.022,120.0
1989,Iran (Islamic Republic of),,6.0,30.167,50.921,100.0
